idtbt_ps_100 Cycle01			idtbt_ps_80 Cycle01						idtbt_ps_60 Cycle01		
nm	A		nm	A					nm	A	
505	0.02531229		505	-0.00073317	0.02358777	0.046059044			505	0.02250163	0.02356601
506	0.02533677		506	-0.00062459	0.02369635	0.046271064			506	0.02241795	0.02348233
507	0.02630054		507	-0.00057979	0.02374115	0.046358544			507	0.02244457	0.02350895
508	0.02655358		508	-0.0006406	0.02368034	0.046239802			508	0.02259756	0.02366194
509	0.02697801		509	-0.00049739	0.02382355	0.046519444			509	0.02154614	0.02261052
510	0.02617362		510	-0.00014656	0.02417438	0.047204498			510	0.02216626	0.02323064
511	0.02806043		511	-0.0001822	0.02413874	0.047134904			511	0.02444815	0.02551253
512	0.02718534		512	-0.00008488	0.02423606	0.047324938			512	0.02386565	0.02493003
513	0.02757096		513	0.00001282	0.02433376	0.047515713			513	0.02305022	0.0241146
514	0.02691321		514	0.00047739	0.02479833	0.048422864			514	0.02383121	0.02489559
515	0.0286705		515	0.0007677	0.02508864	0.048989742			515	0.02355488	0.02461926
516	0.02847519		516	0.00079568	0.02511662	0.049044378			516	0.02431329	0.02537767
517	0.02903518		517	0.00080036	0.0251213	0.049053516			517	0.02379841	0.02486279
518	0.0299658		518	0.00114476	0.0254657	0.049726015			518	0.02562591	0.02669029
519	0.03012054		519	0.0008479	0.02516884	0.049146346			519	0.02453916	0.02560354
520	0.02963006		520	0.00149184	0.02581278	0.050403746			520	0.02596023	0.02702461
521	0.02906314		521	0.0008554	0.02517634	0.049160991			521	0.02555685	0.02662123
522	0.02996016		522	0.00156702	0.02588796	0.050550547			522	0.02486018	0.02592456
523	0.03080276		523	0.00196238	0.02628332	0.051322554			523	0.02491745	0.02598183
524	0.03138026		524	0.00196342	0.02628436	0.051324584			524	0.02582957	0.02689395
525	0.03091607		525	0.00130263	0.02562357	0.050034282			525	0.02643352	0.0274979
526	0.03180149		526	0.0012257	0.02554664	0.049884063			526	0.0267051	0.02776948
527	0.03397069		527	0.00259841	0.02691935	0.052564508			527	0.02697769	0.02804207
528	0.03336769		528	0.00275307	0.02707401	0.052866507			528	0.02654843	0.02761281
529	0.03389205		529	0.00265988	0.02698082	0.052684538			529	0.02822832	0.0292927
530	0.03241534		530	0.0024607	0.02678164	0.052295606			530	0.02744934	0.02851372
531	0.03381564		531	0.00292559	0.02724653	0.053203381			531	0.02562197	0.02668635
532	0.03293054		532	0.00331392	0.02763486	0.05396166			532	0.0274588	0.02852318
533	0.035081		533	0.00306409	0.02738503	0.053473826			533	0.02824274	0.02930712
534	0.03525048		534	0.0039188	0.02823974	0.055142789			534	0.02803724	0.02910162
535	0.03482083		535	0.00360008	0.02792102	0.054520435			535	0.02768278	0.02874716
536	0.03626724		536	0.00488066	0.0292016	0.057020981			536	0.02767508	0.02873946
537	0.03523765		537	0.00369571	0.02801665	0.054707169			537	0.02793772	0.0290021
538	0.03589186		538	0.00404386	0.0283648	0.055386989			538	0.02901708	0.03008146
539	0.03488535		539	0.00484944	0.02917038	0.056960018			539	0.02840285	0.02946723
540	0.03470952		540	0.00435383	0.02867477	0.055992257			540	0.02871853	0.02978291
541	0.03673965		541	0.00463475	0.02895569	0.0565408			541	0.02923031	0.03029469
542	0.03734315		542	0.00470371	0.02902465	0.056675456			542	0.02993943	0.03100381
543	0.03792056		543	0.00528507	0.02960601	0.057810658			543	0.02946251	0.03052689
544	0.03791333		544	0.00479891	0.02911985	0.05686135			544	0.02828705	0.02935143
545	0.03797289		545	0.0052196	0.02954054	0.057682817			545	0.02965716	0.03072154
546	0.03851043		546	0.00542035	0.02974129	0.058074815			546	0.02930177	0.03036615
547	0.03889461		547	0.00535668	0.02967762	0.057950489			547	0.0293983	0.03046268
548	0.03888743		548	0.00552749	0.02984843	0.058284024			548	0.02911759	0.03018197
549	0.0384554		549	0.00572499	0.03004593	0.058669675			549	0.02783177	0.02889615
550	0.03837056		550	0.00622388	0.03054482	0.059643841			550	0.02786275	0.02892713
551	0.03964688		551	0.00651675	0.03083769	0.060215718			551	0.02817701	0.02924139
552	0.03921914		552	0.00599716	0.0303181	0.059201133			552	0.02914551	0.03020989
553	0.04029734		553	0.00642127	0.03074221	0.060029278			553	0.02982134	0.03088572
554	0.04051029		554	0.0066396	0.03096054	0.060455604			554	0.0293882	0.03045258
555	0.04070723		555	0.00716969	0.03149063	0.061490692			555	0.02919704	0.03026142
556	0.04048323		556	0.00740595	0.03172689	0.061952029			556	0.02917503	0.03023941
557	0.03949575		557	0.00729751	0.03161845	0.061740282			557	0.02822768	0.02929206
558	0.04121476		558	0.00740282	0.03172376	0.061945918			558	0.02955777	0.03062215
559	0.04229454		559	0.00788913	0.03221007	0.062895519			559	0.0290444	0.03010878
560	0.04109022		560	0.00738759	0.03170853	0.061916178			560	0.02905247	0.03011685
561	0.04261797		561	0.00818508	0.03250602	0.06347341			561	0.03050316	0.03156754
562	0.04249908		562	0.00820304	0.03252398	0.06350848			562	0.02968742	0.0307518
563	0.04301911		563	0.00806226	0.0323832	0.063233584			563	0.02966301	0.03072739
564	0.04413911		564	0.00883036	0.0331513	0.064733427			564	0.03054809	0.03161247
565	0.04507047		565	0.00870786	0.0330288	0.064494225			565	0.03031197	0.03137635
566	0.04572822		566	0.00888024	0.03320118	0.064830826			566	0.0315157	0.03258008
